phase,call,module_name,us
prefill,0,model.layers.4.mlp.gate_proj,35683.4
prefill,0,model.layers.4.mlp.act,737.709
prefill,0,model.layers.4.mlp.up_proj,35203.6
prefill,0,model.layers.4.mlp.down_proj,36130.6
prefill,0,model.layers.4.mlp,107946
prefill,0,model.layers.4,160268
prefill,0,model.layers.5.input_layernorm,585.781
prefill,0,model.layers.5.self_attn.q_proj,12440.9
prefill,0,model.layers.5.self_attn.k_proj,6522.19
prefill,0,model.layers.5.self_attn.v_proj,6242.29
prefill,0,model.layers.5.self_attn.q_norm,613.281
prefill,0,model.layers.5.self_attn.k_norm,658.959
prefill,0,model.layers.5.self_attn.q_rope,652.344
prefill,0,model.layers.5.self_attn.k_rope,601.042
prefill,0,model.layers.5.self_attn.qk_matmul,2111.09
prefill,0,model.layers.5.self_attn.mask,546.562
prefill,0,model.layers.5.self_attn.softmax,783.958
prefill,0,model.layers.5.self_attn.av_matmul,2109.06
prefill,0,model.layers.5.self_attn.o_proj,12294.5
prefill,0,model.layers.5.self_attn,49862.5
prefill,0,model.layers.5.post_attention_layernorm,602.135
prefill,0,model.layers.5.mlp.gate_proj,35557.5
prefill,0,model.layers.5.mlp.act,650
prefill,0,model.layers.5.mlp.up_proj,35597.9
prefill,0,model.layers.5.mlp.down_proj,35980.1
prefill,0,model.layers.5.mlp,107965
prefill,0,model.layers.5,159994
prefill,0,model.layers.6.input_layernorm,679.115
prefill,0,model.layers.6.self_attn.q_proj,12407.6
prefill,0,model.layers.6.self_attn.k_proj,6518.59
prefill,0,model.layers.6.self_attn.v_proj,6492.24
prefill,0,model.layers.6.self_attn.q_norm,667.344
prefill,0,model.layers.6.self_attn.k_norm,647.761
prefill,0,model.layers.6.self_attn.q_rope,598.073
prefill,0,model.layers.6.self_attn.k_rope,676.406
prefill,0,model.layers.6.self_attn.qk_matmul,2104.74
prefill,0,model.layers.6.self_attn.mask,557.813
prefill,0,model.layers.6.self_attn.softmax,932.239
prefill,0,model.layers.6.self_attn.av_matmul,2367.86
prefill,0,model.layers.6.self_attn.o_proj,12299.5
prefill,0,model.layers.6.self_attn,50418.9
prefill,0,model.layers.6.post_attention_layernorm,591.041
prefill,0,model.layers.6.mlp.gate_proj,35496.6
prefill,0,model.layers.6.mlp.act,829.323
prefill,0,model.layers.6.mlp.up_proj,41075.6
prefill,0,model.layers.6.mlp.down_proj,35790.9
prefill,0,model.layers.6.mlp,113367
prefill,0,model.layers.6,165621
prefill,0,model.layers.7.input_layernorm,216.667
prefill,0,model.layers.7.self_attn.q_proj,11860.9
prefill,0,model.layers.7.self_attn.k_proj,6064.74
prefill,0,model.layers.7.self_attn.v_proj,6087.03
prefill,0,model.layers.7.self_attn.q_norm,263.906
prefill,0,model.layers.7.self_attn.k_norm,203.75
prefill,0,model.layers.7.self_attn.q_rope,236.25
prefill,0,model.layers.7.self_attn.k_rope,184.688
prefill,0,model.layers.7.self_attn.qk_matmul,1779.48
prefill,0,model.layers.7.self_attn.mask,216.302
prefill,0,model.layers.7.self_attn.softmax,325.156
prefill,0,model.layers.7.self_attn.av_matmul,1934.06
prefill,0,model.layers.7.self_attn.o_proj,11964.5
prefill,0,model.layers.7.self_attn,41868.1
prefill,0,model.layers.7.post_attention_layernorm,256.302
prefill,0,model.layers.7.mlp.gate_proj,35318.6
prefill,0,model.layers.7.mlp.act,635.312
prefill,0,model.layers.7.mlp.up_proj,35235.5
prefill,0,model.layers.7.mlp.down_proj,35915
prefill,0,model.layers.7.mlp,107287
prefill,0,model.layers.7,150521
prefill,0,model.layers.8.input_layernorm,552.813
prefill,0,model.layers.8.self_attn.q_proj,12528.4
prefill,0,model.layers.8.self_attn.k_proj,6413.12
prefill,0,model.layers.8.self_attn.v_proj,6496.41
prefill,0,model.layers.8.self_attn.q_norm,683.75
prefill,0,model.layers.8.self_attn.k_norm,623.281
prefill,0,model.layers.8.self_attn.q_rope,611.094
prefill,0,model.layers.8.self_attn.k_rope,345.469
prefill,0,model.layers.8.self_attn.qk_matmul,2093.91
prefill,0,model.layers.8.self_attn.mask,562.708
prefill,0,model.layers.8.self_attn.softmax,772.605
prefill,0,model.layers.8.self_attn.av_matmul,2252.66
prefill,0,model.layers.8.self_attn.o_proj,12537
prefill,0,model.layers.8.self_attn,49895.5
prefill,0,model.layers.8.post_attention_layernorm,555.782
prefill,0,model.layers.8.mlp.gate_proj,35277.4
prefill,0,model.layers.8.mlp.act,613.021
prefill,0,model.layers.8.mlp.up_proj,35249.2
prefill,0,model.layers.8.mlp.down_proj,36015
prefill,0,model.layers.8.mlp,107362
prefill,0,model.layers.8,159317
prefill,0,model.layers.9.input_layernorm,1668.75
prefill,0,model.layers.9.self_attn.q_proj,12331
prefill,0,model.layers.9.self_attn.k_proj,6582.34
prefill,0,model.layers.9.self_attn.v_proj,6202.19
prefill,0,model.layers.9.self_attn.q_norm,636.198
prefill,0,model.layers.9.self_attn.k_norm,657.187
prefill,0,model.layers.9.self_attn.q_rope,644.844
prefill,0,model.layers.9.self_attn.k_rope,646.146
prefill,0,model.layers.9.self_attn.qk_matmul,2104.17
prefill,0,model.layers.9.self_attn.mask,642.5
prefill,0,model.layers.9.self_attn.softmax,714.063
prefill,0,model.layers.9.self_attn.av_matmul,2507.34
prefill,0,model.layers.9.self_attn.o_proj,12392.8
prefill,0,model.layers.9.self_attn,49863
prefill,0,model.layers.9.post_attention_layernorm,582.76
prefill,0,model.layers.9.mlp.gate_proj,35681.7
prefill,0,model.layers.9.mlp.act,762.812
prefill,0,model.layers.9.mlp.up_proj,35231.6
prefill,0,model.layers.9.mlp.down_proj,35870.8
prefill,0,model.layers.9.mlp,107759
prefill,0,model.layers.9,160992
prefill,0,model.layers.10.input_layernorm,670.208
prefill,0,model.layers.10.self_attn.q_proj,12175.6
prefill,0,model.layers.10.self_attn.k_proj,6378.7
prefill,0,model.layers.10.self_attn.v_proj,6640.42
prefill,0,model.layers.10.self_attn.q_norm,579.688
prefill,0,model.layers.10.self_attn.k_norm,665.052
prefill,0,model.layers.10.self_attn.q_rope,626.302
prefill,0,model.layers.10.self_attn.k_rope,372.292
prefill,0,model.layers.10.self_attn.qk_matmul,2058.75
prefill,0,model.layers.10.self_attn.mask,533.958
prefill,0,model.layers.10.self_attn.softmax,821.563
prefill,0,model.layers.10.self_attn.av_matmul,2498.75
prefill,0,model.layers.10.self_attn.o_proj,12400.9
prefill,0,model.layers.10.self_attn,49678
prefill,0,model.layers.10.post_attention_layernorm,617.761
prefill,0,model.layers.10.mlp.gate_proj,35496.9
prefill,0,model.layers.10.mlp.act,771.302
prefill,0,model.layers.10.mlp.up_proj,35715.9
prefill,0,model.layers.10.mlp.down_proj,35963.6
prefill,0,model.layers.10.mlp,108198
prefill,0,model.layers.10,160038
prefill,0,model.layers.11.input_layernorm,727.031
prefill,0,model.layers.11.self_attn.q_proj,12266.2
prefill,0,model.layers.11.self_attn.k_proj,6722.4
prefill,0,model.layers.11.self_attn.v_proj,6539.84
prefill,0,model.layers.11.self_attn.q_norm,644.115
prefill,0,model.layers.11.self_attn.k_norm,645.469
prefill,0,model.layers.11.self_attn.q_rope,681.667
prefill,0,model.layers.11.self_attn.k_rope,613.282
prefill,0,model.layers.11.self_attn.qk_matmul,2065.62
prefill,0,model.layers.11.self_attn.mask,555.885
prefill,0,model.layers.11.self_attn.softmax,723.593
prefill,0,model.layers.11.self_attn.av_matmul,2115.78
prefill,0,model.layers.11.self_attn.o_proj,12301.7
prefill,0,model.layers.11.self_attn,49798.4
prefill,0,model.layers.11.post_attention_layernorm,587.656
prefill,0,model.layers.11.mlp.gate_proj,35678.4
prefill,0,model.layers.11.mlp.act,717.968
prefill,0,model.layers.11.mlp.up_proj,35559.1
prefill,0,model.layers.11.mlp.down_proj,36115.1
prefill,0,model.layers.11.mlp,108275
prefill,0,model.layers.11,160337
prefill,0,model.layers.12.input_layernorm,542.291
prefill,0,model.layers.12.self_attn.q_proj,12423.5
prefill,0,model.layers.12.self_attn.k_proj,6467.34
prefill,0,model.layers.12.self_attn.v_proj,6271.88
prefill,0,model.layers.12.self_attn.q_norm,617.708
prefill,0,model.layers.12.self_attn.k_norm,633.75
prefill,0,model.layers.12.self_attn.q_rope,780.469
prefill,0,model.layers.12.self_attn.k_rope,574.479
prefill,0,model.layers.12.self_attn.qk_matmul,2195.31
prefill,0,model.layers.12.self_attn.mask,583.698
prefill,0,model.layers.12.self_attn.softmax,766.875
prefill,0,model.layers.12.self_attn.av_matmul,2150.94
prefill,0,model.layers.12.self_attn.o_proj,12287.2
prefill,0,model.layers.12.self_attn,49659.5
prefill,0,model.layers.12.post_attention_layernorm,675.833
prefill,0,model.layers.12.mlp.gate_proj,35566.1
prefill,0,model.layers.12.mlp.act,697.344
prefill,0,model.layers.12.mlp.up_proj,35299.4
prefill,0,model.layers.12.mlp.down_proj,35975.6
prefill,0,model.layers.12.mlp,107656
prefill,0,model.layers.12,159454
prefill,0,model.layers.13.input_layernorm,372.084
prefill,0,model.layers.13.self_attn.q_proj,12365.4
prefill,0,model.layers.13.self_attn.k_proj,6381.67
prefill,0,model.layers.13.self_attn.v_proj,6346.09
prefill,0,model.layers.13.self_attn.q_norm,689.427
prefill,0,model.layers.13.self_attn.k_norm,662.24
prefill,0,model.layers.13.self_attn.q_rope,614.323
prefill,0,model.layers.13.self_attn.k_rope,325.834
prefill,0,model.layers.13.self_attn.qk_matmul,2115.31
prefill,0,model.layers.13.self_attn.mask,607.084
prefill,0,model.layers.13.self_attn.softmax,755.417
prefill,0,model.layers.13.self_attn.av_matmul,2141.72
prefill,0,model.layers.13.self_attn.o_proj,12399.1
prefill,0,model.layers.13.self_attn,49664.6
prefill,0,model.layers.13.post_attention_layernorm,562.396
prefill,0,model.layers.13.mlp.gate_proj,35692.4
prefill,0,model.layers.13.mlp.act,624.531
prefill,0,model.layers.13.mlp.up_proj,35221.3
prefill,0,model.layers.13.mlp.down_proj,36061.7
prefill,0,model.layers.13.mlp,107709
prefill,0,model.layers.13,159096
prefill,0,model.layers.14.input_layernorm,629.479
prefill,0,model.layers.14.self_attn.q_proj,12128.4
prefill,0,model.layers.14.self_attn.k_proj,6383.12
prefill,0,model.layers.14.self_attn.v_proj,6528.49
prefill,0,model.layers.14.self_attn.q_norm,621.719
prefill,0,model.layers.14.self_attn.k_norm,451.823
prefill,0,model.layers.14.self_attn.q_rope,619.375
prefill,0,model.layers.14.self_attn.k_rope,604.531
prefill,0,model.layers.14.self_attn.qk_matmul,2071.04
prefill,0,model.layers.14.self_attn.mask,558.437
prefill,0,model.layers.14.self_attn.softmax,777.344
prefill,0,model.layers.14.self_attn.av_matmul,2475.99
prefill,0,model.layers.14.self_attn.o_proj,12270.6
prefill,0,model.layers.14.self_attn,49503
prefill,0,model.layers.14.post_attention_layernorm,578.593
prefill,0,model.layers.14.mlp.gate_proj,35319.7
prefill,0,model.layers.14.mlp.act,684.375
prefill,0,model.layers.14.mlp.up_proj,35676
prefill,0,model.layers.14.mlp.down_proj,36037.7
prefill,0,model.layers.14.mlp,107828
prefill,0,model.layers.14,159673
prefill,0,model.layers.15.input_layernorm,365.312
prefill,0,model.layers.15.self_attn.q_proj,12443.9
prefill,0,model.layers.15.self_attn.k_proj,6428.33
prefill,0,model.layers.15.self_attn.v_proj,6708.75
prefill,0,model.layers.15.self_attn.q_norm,742.656
prefill,0,model.layers.15.self_attn.k_norm,346.406
prefill,0,model.layers.15.self_attn.q_rope,655
prefill,0,model.layers.15.self_attn.k_rope,695.052
prefill,0,model.layers.15.self_attn.qk_matmul,2125.89
prefill,0,model.layers.15.self_attn.mask,564.115
prefill,0,model.layers.15.self_attn.softmax,530.365
prefill,0,model.layers.15.self_attn.av_matmul,2474.22
prefill,0,model.layers.15.self_attn.o_proj,12361.9
prefill,0,model.layers.15.self_attn,50112.4
prefill,0,model.layers.15.post_attention_layernorm,550.156
prefill,0,model.layers.15.mlp.gate_proj,35509.1
prefill,0,model.layers.15.mlp.act,846.718
prefill,0,model.layers.15.mlp.up_proj,35289.9
prefill,0,model.layers.15.mlp.down_proj,35972
prefill,0,model.layers.15.mlp,107863
prefill,0,model.layers.15,159722
prefill,0,model.layers.16.input_layernorm,645.157
prefill,0,model.layers.16.self_attn.q_proj,12173.2
prefill,0,model.layers.16.self_attn.k_proj,6485.94
prefill,0,model.layers.16.self_attn.v_proj,6267.14
prefill,0,model.layers.16.self_attn.q_norm,656.407
prefill,0,model.layers.16.self_attn.k_norm,646.459
prefill,0,model.layers.16.self_attn.q_rope,658.125
prefill,0,model.layers.16.self_attn.k_rope,576.511
prefill,0,model.layers.16.self_attn.qk_matmul,2112.29
prefill,0,model.layers.16.self_attn.mask,568.75
prefill,0,model.layers.16.self_attn.softmax,757.239
prefill,0,model.layers.16.self_attn.av_matmul,2244.53
prefill,0,model.layers.16.self_attn.o_proj,12489.3
prefill,0,model.layers.16.self_attn,49591.9
prefill,0,model.layers.16.post_attention_layernorm,656.771
prefill,0,model.layers.16.mlp.gate_proj,35513.1
prefill,0,model.layers.16.mlp.act,764.375
prefill,0,model.layers.16.mlp.up_proj,35507.2
prefill,0,model.layers.16.mlp.down_proj,36050.4
prefill,0,model.layers.16.mlp,108049
prefill,0,model.layers.16,159680
prefill,0,model.layers.17.input_layernorm,621.406
prefill,0,model.layers.17.self_attn.q_proj,12441.9
prefill,0,model.layers.17.self_attn.k_proj,6401.98
prefill,0,model.layers.17.self_attn.v_proj,6667.86
prefill,0,model.layers.17.self_attn.q_norm,748.646
prefill,0,model.layers.17.self_attn.k_norm,659.115
prefill,0,model.layers.17.self_attn.q_rope,639.322
prefill,0,model.layers.17.self_attn.k_rope,725.312
prefill,0,model.layers.17.self_attn.qk_matmul,2124.17
prefill,0,model.layers.17.self_attn.mask,573.594
prefill,0,model.layers.17.self_attn.softmax,882.031
prefill,0,model.layers.17.self_attn.av_matmul,2294.38
prefill,0,model.layers.17.self_attn.o_proj,12341.4
prefill,0,model.layers.17.self_attn,50422.3
prefill,0,model.layers.17.post_attention_layernorm,586.146
prefill,0,model.layers.17.mlp.gate_proj,35706.6
prefill,0,model.layers.17.mlp.act,702.812
prefill,0,model.layers.17.mlp.up_proj,35499.5
prefill,0,model.layers.17.mlp.down_proj,36079.5
prefill,0,model.layers.17.mlp,108097
prefill,0,model.layers.17,160546
prefill,0,model.layers.18.input_layernorm,568.594
prefill,0,model.layers.18.self_attn.q_proj,12200.5
prefill,0,model.layers.18.self_attn.k_proj,6416.2
prefill,0,model.layers.18.self_attn.v_proj,6571.09
prefill,0,model.layers.18.self_attn.q_norm,603.073
prefill,0,model.layers.18.self_attn.k_norm,658.594
prefill,0,model.layers.18.self_attn.q_rope,656.562
prefill,0,model.layers.18.self_attn.k_rope,651.146
prefill,0,model.layers.18.self_attn.qk_matmul,2091.93
prefill,0,model.layers.18.self_attn.mask,569.219
prefill,0,model.layers.18.self_attn.softmax,758.334
prefill,0,model.layers.18.self_attn.av_matmul,2396.77
prefill,0,model.layers.18.self_attn.o_proj,12499.4
prefill,0,model.layers.18.self_attn,49972.4
prefill,0,model.layers.18.post_attention_layernorm,625
prefill,0,model.layers.18.mlp.gate_proj,35531.6
prefill,0,model.layers.18.mlp.act,797.708
prefill,0,model.layers.18.mlp.up_proj,35222.5
prefill,0,model.layers.18.mlp.down_proj,36041.2
prefill,0,model.layers.18.mlp,107828
prefill,0,model.layers.18,159726
prefill,0,model.layers.19.input_layernorm,608.125
prefill,0,model.layers.19.self_attn.q_proj,12467.4
prefill,0,model.layers.19.self_attn.k_proj,6504.06
prefill,0,model.layers.19.self_attn.v_proj,6524.38
prefill,0,model.layers.19.self_attn.q_norm,682.604
prefill,0,model.layers.19.self_attn.k_norm,640.781
prefill,0,model.layers.19.self_attn.q_rope,645.468
prefill,0,model.layers.19.self_attn.k_rope,620.677
prefill,0,model.layers.19.self_attn.qk_matmul,2115.36
prefill,0,model.layers.19.self_attn.mask,560.416
prefill,0,model.layers.19.self_attn.softmax,923.281
prefill,0,model.layers.19.self_attn.av_matmul,2320.68
prefill,0,model.layers.19.self_attn.o_proj,12373.1
prefill,0,model.layers.19.self_attn,50582.5
prefill,0,model.layers.19.post_attention_layernorm,567.917
prefill,0,model.layers.19.mlp.gate_proj,35708.8
prefill,0,model.layers.19.mlp.act,740.261
prefill,0,model.layers.19.mlp.up_proj,35295.5
prefill,0,model.layers.19.mlp.down_proj,35938.1
prefill,0,model.layers.19.mlp,107904
prefill,0,model.layers.19,160434
prefill,0,model.layers.20.input_layernorm,666.719
prefill,0,model.layers.20.self_attn.q_proj,12293.3
prefill,0,model.layers.20.self_attn.k_proj,6227.34
prefill,0,model.layers.20.self_attn.v_proj,6304.32
prefill,0,model.layers.20.self_attn.q_norm,609.323
prefill,0,model.layers.20.self_attn.k_norm,593.646
prefill,0,model.layers.20.self_attn.q_rope,755.781
prefill,0,model.layers.20.self_attn.k_rope,294.584
prefill,0,model.layers.20.self_attn.qk_matmul,2160.94
prefill,0,model.layers.20.self_attn.mask,559.688
prefill,0,model.layers.20.self_attn.softmax,776.51
prefill,0,model.layers.20.self_attn.av_matmul,2372.4
prefill,0,model.layers.20.self_attn.o_proj,12530.4
prefill,0,model.layers.20.self_attn,49293.4
prefill,0,model.layers.20.post_attention_layernorm,598.125
prefill,0,model.layers.20.mlp.gate_proj,35554.5
prefill,0,model.layers.20.mlp.act,594.063
prefill,0,model.layers.20.mlp.up_proj,35832
prefill,0,model.layers.20.mlp.down_proj,35983
prefill,0,model.layers.20.mlp,108214
prefill,0,model.layers.20,159601
prefill,0,model.layers.21.input_layernorm,591.094
prefill,0,model.layers.21.self_attn.q_proj,12481.1
prefill,0,model.layers.21.self_attn.k_proj,6576.2
prefill,0,model.layers.21.self_attn.v_proj,6294.06
prefill,0,model.layers.21.self_attn.q_norm,614.948
prefill,0,model.layers.21.self_attn.k_norm,616.51
prefill,0,model.layers.21.self_attn.q_rope,593.385
prefill,0,model.layers.21.self_attn.k_rope,370.885
prefill,0,model.layers.21.self_attn.qk_matmul,2115.42
prefill,0,model.layers.21.self_attn.mask,565
prefill,0,model.layers.21.self_attn.softmax,798.75
prefill,0,model.layers.21.self_attn.av_matmul,2305.31
prefill,0,model.layers.21.self_attn.o_proj,12260.6
prefill,0,model.layers.21.self_attn,49647.6
prefill,0,model.layers.21.post_attention_layernorm,587.188
prefill,0,model.layers.21.mlp.gate_proj,35694
prefill,0,model.layers.21.mlp.act,769.01
prefill,0,model.layers.21.mlp.up_proj,35319.2
prefill,0,model.layers.21.mlp.down_proj,35896.7
prefill,0,model.layers.21.mlp,107789
prefill,0,model.layers.21,159636
prefill,0,model.layers.22.input_layernorm,613.282
prefill,0,model.layers.22.self_attn.q_proj,12331.4
prefill,0,model.layers.22.self_attn.k_proj,6246.35
prefill,0,model.layers.22.self_attn.v_proj,6608.7
prefill,0,model.layers.22.self_attn.q_norm,587.864
prefill,0,model.layers.22.self_attn.k_norm,398.281
prefill,0,model.layers.22.self_attn.q_rope,645.26
prefill,0,model.layers.22.self_attn.k_rope,617.552
prefill,0,model.layers.22.self_attn.qk_matmul,2145.68
prefill,0,model.layers.22.self_attn.mask,637.969
prefill,0,model.layers.22.self_attn.softmax,796.562
prefill,0,model.layers.22.self_attn.av_matmul,2566.72
prefill,0,model.layers.22.self_attn.o_proj,14029.8
prefill,0,model.layers.22.self_attn,51640.4
prefill,0,model.layers.22.post_attention_layernorm,605.312
prefill,0,model.layers.22.mlp.gate_proj,35596.7
prefill,0,model.layers.22.mlp.act,665.73
prefill,0,model.layers.22.mlp.up_proj,35542
prefill,0,model.layers.22.mlp.down_proj,35874.5
prefill,0,model.layers.22.mlp,107838
prefill,0,model.layers.22,161678
prefill,0,model.layers.23.input_layernorm,597.187
prefill,0,model.layers.23.self_attn.q_proj,12379.5
prefill,0,model.layers.23.self_attn.k_proj,6469.58
prefill,0,model.layers.23.self_attn.v_proj,6554.06
prefill,0,model.layers.23.self_attn.q_norm,625.469
prefill,0,model.layers.23.self_attn.k_norm,647.5
prefill,0,model.layers.23.self_attn.q_rope,585.886
prefill,0,model.layers.23.self_attn.k_rope,299.583
prefill,0,model.layers.23.self_attn.qk_matmul,2122.55
prefill,0,model.layers.23.self_attn.mask,556.042
prefill,0,model.layers.23.self_attn.softmax,796.458
prefill,0,model.layers.23.self_attn.av_matmul,2424.38
prefill,0,model.layers.23.self_attn.o_proj,12403.3
prefill,0,model.layers.23.self_attn,49920.2
prefill,0,model.layers.23.post_attention_layernorm,618.281
prefill,0,model.layers.23.mlp.gate_proj,35629.1
prefill,0,model.layers.23.mlp.act,808.386
prefill,0,model.layers.23.mlp.up_proj,35538.1
prefill,0,model.layers.23.mlp.down_proj,35991.9
prefill,0,model.layers.23.mlp,108113
prefill,0,model.layers.23,160244
prefill,0,model.layers.24.input_layernorm,580.469
prefill,0,model.layers.24.self_attn.q_proj,12367.7
prefill,0,model.layers.24.self_attn.k_proj,6427.08
prefill,0,model.layers.24.self_attn.v_proj,6298.54
prefill,0,model.layers.24.self_attn.q_norm,628.75
prefill,0,model.layers.24.self_attn.k_norm,671.094
prefill,0,model.layers.24.self_attn.q_rope,709.375
prefill,0,model.layers.24.self_attn.k_rope,612.292
prefill,0,model.layers.24.self_attn.qk_matmul,2133.39
prefill,0,model.layers.24.self_attn.mask,604.583
prefill,0,model.layers.24.self_attn.softmax,767.187
prefill,0,model.layers.24.self_attn.av_matmul,2151.77
prefill,0,model.layers.24.self_attn.o_proj,12391.7
prefill,0,model.layers.24.self_attn,49639.3
prefill,0,model.layers.24.post_attention_layernorm,684.375
prefill,0,model.layers.24.mlp.gate_proj,35513.4
prefill,0,model.layers.24.mlp.act,608.437
prefill,0,model.layers.24.mlp.up_proj,35561
prefill,0,model.layers.24.mlp.down_proj,35926.1
prefill,0,model.layers.24.mlp,107827
prefill,0,model.layers.24,159655
prefill,0,model.layers.25.input_layernorm,591.51
prefill,0,model.layers.25.self_attn.q_proj,12364.6
prefill,0,model.layers.25.self_attn.k_proj,6745.68
prefill,0,model.layers.25.self_attn.v_proj,6201.98
prefill,0,model.layers.25.self_attn.q_norm,678.229
prefill,0,model.layers.25.self_attn.k_norm,371.406
prefill,0,model.layers.25.self_attn.q_rope,614.479
prefill,0,model.layers.25.self_attn.k_rope,675.052
prefill,0,model.layers.25.self_attn.qk_matmul,2111.35
prefill,0,model.layers.25.self_attn.mask,605.156
prefill,0,model.layers.25.self_attn.softmax,774.062
prefill,0,model.layers.25.self_attn.av_matmul,2240.94
prefill,0,model.layers.25.self_attn.o_proj,12408.6
prefill,0,model.layers.25.self_attn,49629.5
